ubigeo,departamento,provincia,distrito,DQ1_bad_total_pop,DQ4_density_broken,DQ3_education_outlier,DQ2_pobreza_idh_outlier,total_pop_raw,pob_densidad_2020,recomputed_density_raw,recomputed_density_fixed,density_ratio_csv_over_2017,pct_superior_cualquiera,pct_pobreza_total,idh_2019,pobreza_idh_resid_z
130704,LA LIBERTAD,PACASMAYO,PACASMAYO,False,False,True,False,28959.0,1067.28274967575,939.0077821011673,939.0077821011673,1.1366069270347778,29.13,11.573225,0.5968586479601469,-0.4600540674958349
140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,False,False,True,False,270496.0,6934.91559086395,5372.313803376365,5372.313803376365,1.2908619720809176,38.98,7.491534,0.633675858244332,-0.5169491501308621
140104,LAMBAYEQUE,CHICLAYO,ETEN PUERTO,False,False,True,False,2342.0,186.740331491713,161.7403314917127,161.7403314917127,1.1545687446626833,34.81,8.79655,0.6176842578070318,-0.5368426367382063
140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,False,False,True,False,90912.0,3336.27384196185,3096.457765667575,3096.457765667575,1.0774485216473062,28.13,11.043383,0.5698121065713129,-0.7546410569548236
140112,LAMBAYEQUE,CHICLAYO,PIMENTEL,False,False,True,False,44602.0,485.54035773335306,670.4043288741921,670.4043288741921,0.7242500336307784,30.96,10.716871,0.582874900209372,-0.6678890344370886
140201,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,False,False,True,False,34229.0,641.09038275973,550.4824702476681,550.4824702476681,1.1645972713196415,29.51,15.518673,0.5110846256157149,-0.8579432980318624
140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,False,False,True,False,71425.0,245.209082937744,215.96166056904423,215.96166056904423,1.135428771438573,28.2,14.11125,0.5539280527450419,-0.6054973223974419
150716,LIMA,HUAROCHIRI,SAN ANTONIO,False,True,False,False,912.0,78.0549690377757,1.618197625933746,1.618197625933746,48.2357456140351,6.99,18.9465,0.3755896560439069,-1.753872354915354
150808,LIMA,HUAURA,PACCHO,False,False,False,True,1516.0,6.86586695747001,6.612868047982552,6.612868047982552,1.038258575197889,5.02,25.10339,0.164058433094661,-3.075782965564124
151002,LIMA,YAUYOS,ALIS,False,True,False,False,1534.0,2.95649725468112,10.798254258763903,10.798254258763903,0.27379400260756187,35.54,15.10272,0.646897391322081,0.32799967348203257
151025,LIMA,YAUYOS,QUINOCAY,False,False,False,True,428.0,4.29047214784823,2.7950107751583624,2.7950107751583624,1.5350467289719611,7.37,15.10272,0.2701484733661719,-3.071851091295547
151029,LIMA,YAUYOS,TAURIPAMPA,False,False,False,True,499.0,1.4806163583619,0.939984176619071,0.939984176619071,1.5751503006011989,13.67,11.93167,0.2557152820770399,-3.504420421938399
160101,LORETO,MAYNAS,IQUITOS,False,False,True,False,146853.0,487.284657266508,410.03210945134725,410.03210945134725,1.1884060931679967,33.64,8.626166,0.6598204400488459,-0.1728421347678999
160804,LORETO,PUTUMAYO,YAGUAS,False,False,False,True,1277.0,0.0815231802277233,0.0720450526995174,0.0720450526995174,1.1315583398590447,9.81,60.889179,0.472306160137942,3.117646394636449
170101,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,False,False,True,False,81925.0,5.06135411115752,3.687232655941699,3.687232655941699,1.3726701251144344,27.33,4.787605,0.633163973578539,-0.7793556924043114
180101,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,False,False,True,False,65808.0,17.5366671393554,16.664303223061808,16.664303223061808,1.0523492584488217,39.19,7.023362,0.701939379639895,0.05443869839328166
180104,MOQUEGUA,MARISCAL NIETO,SAMEGUA,False,False,True,False,8480.0,160.223820943245,135.57154276578737,135.57154276578737,1.1818396226415064,39.08,5.229743,0.726691131841798,0.1068029517254529
180106,MOQUEGUA,MARISCAL NIETO,TORATA,False,False,True,False,6198.0,4.91253896295801,3.4560631659947476,3.4560631659947476,1.4214262665375936,41.17,6.052455,0.743778319598838,0.33943656455513094
