ubigeo,imputed,n_parents,parent_ubigeos,cvr_deaths,cvr_events,cvr_guerr_8088,cvr_guerr_8900,cvr_state_8088,cvr_state_8900,emergency_zone_1990,guerrilla_presence,marxist_vote_1980,colonial_mita_zone,prior_social_movements,illiteracy_1972,population_1972_thousands
020803,False,1,020803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08021390438079834,0.0,0.0,0.2886313498020172,1.812000036239624
020804,False,1,020804,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10335195809602737,0.0,0.0,0.3612508177757263,4.572999954223633
020901,False,1,020901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0890585258603096,0.0,0.0,0.38165906071662903,2.628000020980835
020902,False,1,020902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0390625,0.0,0.0,0.4121699333190918,0.8709999918937683
020903,False,1,020903,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03937007859349251,0.0,0.0,0.19747234880924225,0.6330000162124634
020904,False,1,020904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32499998807907104,0.0,0.0,0.4219591021537781,1.8580000400543213
020905,False,1,020905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06521739065647125,0.0,0.0,0.36214348673820496,1.156999945640564
020906,False,1,020906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285746216774,0.0,0.0,0.38860630989074707,0.9829999804496765
020907,False,1,020907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02054794505238533,0.0,0.0,0.3214285671710968,0.5320000052452087
021001,False,1,021001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13921800255775452,0.0,0.0,0.4325859248638153,10.213000297546387
021003,False,1,021003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08483754843473434,0.0,0.0,0.5966917872428894,4.111000061035156
021004,False,1,021004,6.0,4.0,0.0,2.0,1.0,2.0,0.0,0.0,0.1269841343164444,0.0,0.0,0.5692383646965027,8.088000297546387
021005,False,1,021005,5.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.2647058963775635,0.0,0.0,0.4646620750427246,7.117000102996826
021006,False,1,021006,6.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,0.18238992989063263,0.0,0.0,0.38151928782463074,1.7640000581741333
021007,False,1,021007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11634349077939987,0.0,0.0,0.4655207395553589,4.945000171661377
021008,False,1,021008,6.0,6.0,1.0,5.0,0.0,0.0,0.0,1.0,0.2087475210428238,0.0,0.0,0.47852760553359985,4.564000129699707
021009,False,1,021009,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.16343042254447937,0.0,0.0,0.4760556221008301,3.884000062942505
021010,False,1,021010,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.11692307889461517,0.0,0.0,0.49610984325408936,2.184999942779541
021011,False,1,021011,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3381924331188202,0.0,0.0,0.4792204797267914,4.258999824523926
021012,False,1,021012,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.32608696818351746,0.0,0.0,0.3001949191093445,1.0260000228881836
021013,False,1,021013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02666666731238365,0.0,0.0,0.3655316233634949,1.4390000104904175
021014,False,1,021014,18.0,6.0,0.0,5.0,0.0,7.0,0.0,0.0,0.08796680718660355,0.0,0.0,0.5080528855323792,9.685999870300293
021015,False,1,021015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1661129593849182,0.0,0.0,0.44288840889930725,2.2850000858306885
