ubigeo,department,provincia,distrito,landredist_pc,landredist_pcprivate,landredist_pc_2,landdist_uncult_pc,D_LRSurfaceArea50th,LRpercap_calweighted_log,prop_ha_ths,imputed,lr_parent_ubigeo
021502,Áncash,PALLASCA,BOLOGNESI,0.09765999,0.623763,0.009537473,0.0,0.0,3.0326948,1.25416,False,21502
021503,Áncash,PALLASCA,CONCHUCOS,0.62273914,1.0,0.38780403,0.0127286455,1.0,34.960846,15.58854,False,21503
021504,Áncash,PALLASCA,HUACASCHUQUE,0.00021518017,0.002674379,4.6302507e-08,0.0,0.0,0.010017936,0.45986,False,21504
021505,Áncash,PALLASCA,HUANDOVAL,0.047031913,0.28221324,0.0022120008,0.0,0.0,1.8338315,1.43954,False,21505
021506,Áncash,PALLASCA,LACABAMBA,0.029272448,0.1852731,0.00085687626,0.0,0.0,0.9978227,6.49703,False,21506
021507,Áncash,PALLASCA,LLAPO,0.00038906815,0.0026743787,1.5137402e-07,0.0,0.0,0.009255236,0.39743,False,21507
021508,Áncash,PALLASCA,PALLASCA,0.08079899,0.082589455,0.0065284767,0.0,0.0,0.89442027,5.60962,False,21508
021509,Áncash,PALLASCA,PAMPAS,0.031778514,0.044173606,0.0010098739,0.0,0.0,1.1882949,30.98528,False,21509
021510,Áncash,PALLASCA,SANTA ROSA,0.011162137,0.30726612,0.0001245933,0.0,0.0,0.79658705,0.91314,False,21510
021511,Áncash,PALLASCA,TAUCA,0.2922605,0.6302148,0.0854162,0.0,0.0,9.415007,9.09155,False,21511
021601,Áncash,POMABAMBA,POMABAMBA,0.51919943,1.0,0.26956806,0.0,1.0,6.6080966,1.19962,False,21601
021602,Áncash,POMABAMBA,HUAYLLAN,0.48654482,1.0,0.23672587,0.0,0.0,6.5492134,1.61115,False,21602
021603,Áncash,POMABAMBA,PAROBAMBA,0.14725292,1.0,0.021683421,0.0,0.0,3.9366262,1.3226,False,21603
021604,Áncash,POMABAMBA,QUINUABAMBA,0.13942106,1.0,0.019438231,0.0,0.0,4.487414,0.92024,False,21604
021701,Áncash,RECUAY,RECUAY,0.72090316,1.0,0.51970136,0.0,1.0,0.0,1.0919,False,21701
021702,Áncash,RECUAY,CATAC,0.6396038,1.0,0.40909302,0.0,1.0,0.0,35.545174,False,21702
021703,Áncash,RECUAY,COTAPARACO,0.16792546,0.9245798,0.028198961,0.0,0.0,13.730972,6.6034703,False,21703
021704,Áncash,RECUAY,HUAYLLAPAMPA,0.1997875,1.0,0.039915044,0.0,0.0,12.65563,11.26447,False,21704
021705,Áncash,RECUAY,LLACLLIN,5.6001816e-05,0.0033965767,3.1362035e-09,0.0,0.0,0.003633878,0.13948,False,21705
021706,Áncash,RECUAY,MARCA,0.012408931,0.18466125,0.00015398156,0.0,0.0,0.75988406,0.75031,False,21706
021707,Áncash,RECUAY,PAMPAS CHICO,0.455064,1.0,0.20708324,0.0,0.0,13.786409,0.22273,False,21707
021708,Áncash,RECUAY,PARARIN,0.0010703553,0.061664604,1.1456605e-06,0.0,0.0,0.108764626,0.69963,False,21708
021709,Áncash,RECUAY,TAPACOCHA,0.09593908,1.0,0.009204307,0.0,0.0,4.0949044,4.89799,False,21709
021710,Áncash,RECUAY,TICAPAMPA,0.077085435,0.5143067,0.0059421645,0.0,0.0,0.0,0.8697,False,21710
021801,Áncash,SANTA,CHIMBOTE,0.044058323,0.51090527,0.0019411359,0.0,0.0,0.0,3.23923,False,21801
021802,Áncash,SANTA,CÁCERES DEL PERÚ,0.19295965,1.0,0.037233427,0.0,0.0,9.521673,4.5300403,False,21802
021804,Áncash,SANTA,MACATE,0.16884977,0.8200013,0.028510243,0.0,0.0,9.994404,9.9727,False,21804
